,HR,RA(J2000),DEC(J2000),Double.Name,Teff(K),Error_Teff(K),logg,Error_logg,[M/H],Error_[M/H],standard_B,Error_standard_B,standard_G,Error_standard_G,standard_R,Error_standard_R,STC_R,STC_G,STC_B,STC_L,DSC_Opt_R,DSC_Opt_G,DSC_Opt_B,DSC_Opt_L,Parallax
0,3,1.3339247,-5.7076189,---,4732,21,3.088,0.32,0.0,0.072,5.128,0.01,4.68,0.01,4.357,0.008,4.24811705777723,4.737169491248193,5.378447068922898,3.866971556741487,4.287,4.715,5.182,4.703,25.32
1,5,1.5658922,58.436728,---,5762,50,4.809,0.291,0.2,0.095,6.307,0.012,6.044,0.009,5.862,0.009,5.802470619931342,6.073683309359591,6.480151383475552,5.248843920557031,5.819,6.061,6.337,6.112,46.56
2,15,2.0969161,29.0904311,---,12827,101,4.484,0.116,0.5,0.0,1.834,0.01,1.983,0.011,2.144,0.012,2.2295675928725927,1.9745305739459218,1.8157010494488666,1.1161083733364245,2.192,1.98,1.819,1.991,33.62
3,21,2.2945217,59.1497811,---,6917,81,3.229,0.099,-0.085,0.153,2.347,0.014,2.268,0.011,2.234,0.008,2.2308748281119106,2.2773240233500496,2.4295952870435737,1.4577399031190106,2.225,2.27,2.357,2.331,59.58
4,25,2.3526731,-45.7474253,---,4824,29,2.522,0.312,0.0,0.043,4.399,0.01,3.958,0.009,3.653,0.008,3.550738433063647,4.008079833972261,4.647694223389714,3.1549134783026442,3.586,3.987,4.455,3.996,22.6081
5,27,2.5801942,46.0722722,---,6181,31,1.299,0.107,-0.801,0.158,5.133,0.013,5.009,0.01,4.932,0.008,4.907941588453331,5.021069267311264,5.225828309917131,4.197331440765767,4.912,5.013,5.148,5.065,2.65
6,33,2.8160733,-15.4679794,---,6217,76,3.912,0.211,-0.386,0.126,5.075,0.012,4.906,0.009,4.797,0.007,4.761750810777092,4.922218086992632,5.186371796856593,4.100061113517602,4.77,4.912,5.095,4.966,52.9489
7,39,3.3089633,15.1835936,---,21414,393,4.192,0.33,-2.0,0.0,2.529,0.011,2.719,0.013,2.917,0.013,3.0183320927018964,2.704066555225015,2.4775927926803774,1.8316538508670317,2.978,2.715,2.51,2.704,8.33
8,45,3.6506856,20.2067003,---,3748,16,1.202,0.07,0.429,0.08,5.668,0.014,4.879,0.01,4.326,0.014,4.1501878186925465,4.995579822212303,6.027743299940303,3.9717380946744267,4.229,4.945,5.784,4.66,9.4052
9,48,3.6600689,-18.9328653,---,3750,3,0.77,0.117,0.5,0.01,5.389,0.009,4.554,0.009,3.981,0.012,3.8011266463319053,4.6757170357709175,5.765926513305414,3.641945910024048,3.881,4.624,5.516,4.332,7.29
10,63,4.2729119,38.6816361,---,8857,65,3.834,0.071,0.0,0.519,4.495,0.007,4.568,0.008,4.673,0.01,4.7322104718409275,4.566299774680968,4.522254636512927,3.732836249760872,4.703,4.564,4.489,4.61,18.8747
11,68,4.5819061,36.7852253,---,8803,42,3.918,0.075,0.0,0.507,4.409,0.008,4.477,0.009,4.578,0.012,4.635816071510739,4.475396424720569,4.439610685689493,3.64365961973013,4.606,4.473,4.403,4.521,23.2542
12,72,4.6744486,-8.0530014,---,5790,29,3.972,0.217,0.26,0.087,6.789,0.009,6.53,0.007,6.354,0.008,6.295853097794239,6.5572181764072655,6.959160111115878,5.735719827498842,6.312,6.544,6.82,6.599,42.7308
13,74,4.8569756,-8.8239197,---,4490,34,1.898,0.28,0.034,0.133,4.178,0.009,3.641,0.01,3.267,0.011,3.142108920037842,3.7067012514409186,4.465813978785124,2.821398162460547,3.188,3.68,4.248,3.645,11.88
14,77,5.0177497,-64.8747931,---,5837,38,4.019,0.21,-0.351,0.093,4.47,0.01,4.244,0.009,4.095,0.009,4.042896654738831,4.265680976841021,4.609931910484038,3.4438612738487184,4.058,4.253,4.498,4.307,116.1826
15,88,5.7157845,-12.2094381,---,5824,33,4.323,0.243,0.182,0.076,6.684,0.011,6.434,0.008,6.265,0.007,6.209032999930003,6.460759563575984,6.848815225054967,5.639307736244548,6.224,6.448,6.714,6.503,46.8742
16,98,6.4377931,-77.2542461,---,5768,70,3.45,0.181,-0.193,0.144,3.064,0.015,2.824,0.011,2.664,0.009,2.6098977355534676,2.847076934516511,3.2147367972501,2.026301210928846,2.626,2.834,3.094,2.889,134.07
17,99,6.5710475,-42.3059872,---,4486,33,2.354,0.319,-0.46,0.132,2.972,0.01,2.487,0.009,2.141,0.009,2.0215546522937013,2.5463708628129273,3.231237527592115,1.6666233353470727,2.067,2.522,3.033,2.491,38.5
18,100,6.5508408,-43.6798314,---,8053,65,3.68,0.083,0.0,0.182,3.903,0.008,3.926,0.008,3.986,0.01,4.025100418889585,3.9284174184372356,3.9510032488298332,3.1030515799672247,4.002,3.924,3.901,3.98,41.7228
19,105,6.9820778,-33.0071661,---,3509,2,0.0,0.0,0.0,0.0,5.822,0.013,4.925,0.012,4.331,0.012,4.139867202487488,5.048058404753698,6.218328312453689,3.9932610902743777,4.231,4.989,5.97,4.568,5.8984
20,123,7.9431639,54.522285,---,11649,104,4.253,0.181,0.5,0.0,4.51,0.01,4.648,0.01,4.801,0.01,4.882944319008842,4.640839513719782,4.49702295836414,3.7857965369880797,4.847,4.646,4.496,4.661,8.64
21,125,7.8540853,-48.803515,---,9248,49,3.972,0.066,-0.5,0.287,4.622,0.01,4.707,0.011,4.824,0.012,4.888643402955875,4.703426243004591,4.641716604313345,3.8676253929874003,4.857,4.702,4.614,4.745,18.4705
22,126,7.8861169,-62.9582186,---,10687,85,4.478,0.07,0.5,0.0,4.194,0.01,4.314,0.011,4.457,0.012,4.5349913581512,4.3084762835367245,4.198117150263517,3.4627694936379996,4.499,4.31,4.182,4.34,22.8384
23,127,7.8894858,-62.9655625,---,8579,119,4.337,0.057,-0.023,0.549,4.498,0.012,4.537,0.01,4.618,0.013,4.6684838404455755,4.5390559772635655,4.545293319067573,3.7155223969724864,4.641,4.534,4.495,4.594,19.5923
